[PFAD]
d:\Musik\;True
[DUPLIKATE]
8247808;d:\Musik\Linkin Park\Top\8 What I've Done richtig.mp3;d:\Musik\Toplieder\8 What I've Done richtig.mp3
8197797;d:\Musik\Linkin Park\Top\Into You.mp3;d:\Musik\Toplieder\Into You.mp3
8172423;d:\Musik\Linkin Park\Top\11 Easier To Run.mp3;d:\Musik\Toplieder\11 Easier To Run.mp3
8114176;d:\Musik\Oomph\Beim ersten mal tut's immer weh.mp3;d:\Musik\Toplieder\Beim ersten mal tut's immer weh.mp3
8073216;d:\Musik\Oomph\Fieber.mp3;d:\Musik\Toplieder\Fieber.mp3
8016741;d:\Musik\Papa Roach\05 The Enemy.m4a;d:\Musik\Toplieder\05 The Enemy.m4a
7942144;d:\Musik\Oomph\Träumst du.mp3;d:\Musik\Toplieder\Träumst du.mp3
7916365;d:\Musik\Placebo\08 Blind.m4a;d:\Musik\Toplieder\08 Blind.m4a
7850600;d:\Musik\Linkin Park\Top\09 Breaking The Habit.mp3;d:\Musik\Toplieder\09 Breaking The Habit.mp3
7843840;d:\Musik\Toplieder\Toten Hosen - Ich bin die Sehnsucht in dir.mp3;d:\Musik\Toten Hosen\Toten Hosen - Ich bin die Sehnsucht in dir.mp3
7828011;d:\Musik\Ipod Musik\Sabaton - Rise Of Evil (lyrics) HD (128kbit_AAC).m4a;d:\Musik\Sabaton\Sabaton - Rise Of Evil (lyrics) HD (128kbit_AAC).m4a
7797211;d:\Musik\Oomph\Sandmann.mp3;d:\Musik\Toplieder\Sandmann.mp3
7768531;d:\Musik\Toplieder\Die Toten Hosen - Paradies.mp3;d:\Musik\Toten Hosen\Die Toten Hosen - Paradies.mp3
7696046;d:\Musik\Papa Roach\01 Burn.m4a;d:\Musik\Toplieder\01 Burn.m4a
7661245;d:\Musik\My Chemical Romance\06-my_chemical_romance-the_only_hope_for_me_is_you.mp3;d:\Musik\Toplieder\06-my_chemical_romance-the_only_hope_for_me_is_you.mp3
7527264;d:\Musik\My Chemical Romance\04-my_chemical_romance-sing.mp3;d:\Musik\Toplieder\04-my_chemical_romance-sing.mp3
7470319;d:\Musik\Citylauf\Amorphis - Dark Path (192kbit_AAC).m4a;d:\Musik\Ipod Musik\Amorphis - Dark Path (192kbit_AAC).m4a
7391446;d:\Musik\Oomph\Gott ist ein Popstar.mp3;d:\Musik\Toplieder\Gott ist ein Popstar.mp3
