1;NordavindDNB|riolu!;379956414
2;Law¬тєснηо.STIHL;311695118
3;racehans.STIHL;123348372
4;»Kripke;97821203
5;»мєс¬ｱんﾉﾚ〢ғฟ๏;42575459
6;!dameager!;34718225
7;TnT|Lucario;32800866
8;«厶ア»Runner;27130691
9;λиפгıIZeŗefIıмєс;24636895
10;Ŀĸя¬Τυявοॆ;20842541
11;always²;18406191
12;ғฟ๏〢Schmaniol.STIHL;17582539
13;(((๙ครใวคภツ.8.1;13729387
14;Spee:D;10857427
15;#U.1.L.Constantin;10407264
16;TSMGranaDy!STIHL;10226686
17;»ЯтА«Blizz;10054743
18;DerruppigePinkipu;9959410
19;ѕтух.STIHL;8418002
20;»мєс¬TMshocko.0;7867955
21;Visionary;7389437
22;λиפгıIjooey;7049332
23;fвĭŴέŖήi;6861780
24;Steffen93;6276442
25;»кıllєя«''';5902694
26;ฬคงε.PhilKos;5706273
27;|lDgAl|ИैaHCॆo3;5266087
28;Chaos;5258146
29;Ŀĸя¬M4x1.STIHL;5099511
30;heinrichsson;5090818
31;~Zaitsev`;4938297
32;|lDgAl|HeXeRMaNBF;4763747
33;euklid;4570583
34;teddyleins_zweit_frau;4274384
35;chen65;4229837
36;TnTpassiI|GC;4133789
37;ғฟ๏.Logic;3833051
38;тв»פаякι!;3814719
39;Ebro;3804974
40;Akira;3793929
41;|ηงίऽ๋ίъוэ«đampf॥;3553190
42;»TaC«ङैɷÐɷMツ;3460486
43;Ŀυсĸеяѕ¬Ðēτเתน;3409003
44;-NukeDragon-;3148381
45;XR~Mr.Bones;3120853
46;Ŗėvėη'Дтzε-Ρεηĝ;3063674
47;exÐ|Bladee;3024312
48;leandagu';3004710
49;nbspŁĬżť@Z;2719185
50;ςс๙єωの¬メูล๏๙ื็ภ����;2707748
51;Neyter;2673440
52;Jaeger;2571772
53;GNDjinho;2523239
54;Һקςоופεוѕε;2522845
55;|lDgAl|ИैaHCॆo3;2503562
56;989.kH;2429183
57;.asozialer.hal.ko;2396993
58;Dunno|Neon;2363674
59;10°Lนkε«;2336242
60;Ńitřoχツ;2266670
61;Јσнηηуғιχะ;2188113
62;Maddin-GÖ;2113849
63;хγ»looo;2100466
64;Junidan龍;2096889
65;EasyืX;2088063
66;UwS||Franzis²;2069868
67;ΧЯ//Асίδ*GG;2025904
68;Hyker///нот;2022620
69;Mini;1993248
70;Germany///Paddi.iGn;1987861
71;Nasenbär;1978698
72;apΧ.คใεאD;1947186
73;Schnuffi;1946347
74;thewne;1940187
75;sebi;1930554
76;Crucial;1919298
77;&#60DoPN&#62Jan;1881858
78;zero|Skywalker;1879542
79;ѕтι¬Gै२६ॆiिु〤;1772821
80;Spud_Murphy;1771304
81;oldschmaniaccount;1760473
82;LSD|Dengel;1758188
83;Achmedツ;1753791
84;פэ//ไ»є๔๔уッєу;1743282
85;ŋξţźÔňξ;1728008
86;ScrewD.¬Kenji;1708054
87;meow²;1696904
88;FISCH;1675761
89;UGUMULUGU;1666367
90;Penisotter;1656292
91;ѕקεεの»Alecz;1625607
92;TnTのiהgò.Óｯ;1623599
93;»хтвн;1621118
94;ĐξvïLツ°;1615631
95;Frosch;1610072
96;da¢SP´killervirus.シ;1598558
97;ЯҒ»Ritus!;1591667
98;DrehspießfleischimBrot;1576564
99;νѕρ.Luuuke!;1570417
100;~ѕтоямісаиѕ~/Errish!;1546073
