1;NordavindDNB|riolu!;379791364
2;Law¬тєснηо.STIHL;311602484
3;racehans.STIHL;123288459
4;»Kripke;97792835
5;»мєс¬ｱんﾉﾚ〢ғฟ๏;41794035
6;!dameager!;34729017
7;TnT|Lucario;32884554
8;«厶ア»Runner;27008137
9;λиפгıIZeŗefIıмєс;24688961
10;Ŀĸя¬Τυявοॆ;20866818
11;always²;18412383
12;ғฟ๏〢Schmaniol.STIHL;17578268
13;(((๙ครใวคภツ.8.1;13743222
14;Spee:D;10861883
15;#U.1.L.Constantin;10405445
16;TSMGranaDy!STIHL;10258550
17;»ЯтА«Blizz;10065436
18;DerruppigePinkipu;9965195
19;ѕтух.STIHL;8420711
20;»мєс¬TMshocko.0;7872111
21;Visionary;7404490
22;λиפгıIjooey;7057867
23;fвĭŴέŖήi;6870618
24;Steffen93;6200437
25;»кıllєя«''';5909650
26;ฬคงε.PhilKos;5705165
27;Chaos;5265859
28;|lDgAl|ИैaHCॆo3;5265038
29;Ŀĸя¬M4x1.STIHL;5100854
30;heinrichsson;5095147
31;~Zaitsev`;4937556
32;|lDgAl|HeXeRMaNBF;4764705
33;euklid;4571884
34;teddyleins_zweit_frau;4276355
35;chen65;4232661
36;TnTpassiI|GC;4132686
37;ғฟ๏.Logic;3838354
38;тв»פаякι!;3814847
39;Ebro;3804706
40;Akira;3792750
41;|ηงίऽ๋ίъוэ«đampf॥;3556754
42;»TaC«ङैɷÐɷMツ;3461652
43;Ŀυсĸеяѕ¬Ðēτเתน;3407974
44;-NukeDragon-;3152155
45;XR~Mr.Bones;3120060
46;Ŗėvėη'Дтzε-Ρεηĝ;3064315
47;exÐ|Bladee;3023411
48;leandagu';3003940
49;nbspŁĬżť@Z;2719514
50;ςс๙єωの¬メูล๏๙ื็ภ����;2708550
51;Neyter;2676460
52;Jaeger;2571150
53;GNDjinho;2525717
54;Һקςоופεוѕε;2524192
55;|lDgAl|ИैaHCॆo3;2504831
56;989.kH;2431697
57;.asozialer.hal.ko;2398121
58;10°Lนkε«;2338066
59;Dunno|Neon;2326535
60;Ńitřoχツ;2268761
61;Јσнηηуғιχะ;2188370
62;Maddin-GÖ;2116764
63;хγ»looo;2101721
64;Junidan龍;2097311
65;EasyืX;2089680
66;UwS||Franzis²;2078967
67;Hyker///нот;2076629
68;ΧЯ//Асίδ*GG;2027080
69;Mini;1995295
70;Germany///Paddi.iGn;1991884
71;Nasenbär;1979172
72;apΧ.คใεאD;1948737
73;Schnuffi;1948181
74;thewne;1942248
75;sebi;1930690
76;Crucial;1919010
77;&#60DoPN&#62Jan;1882672
78;zero|Skywalker;1877699
79;ѕтι¬Gै२६ॆiिु〤;1773809
80;Spud_Murphy;1772757
81;oldschmaniaccount;1764996
82;LSD|Dengel;1758308
83;Achmedツ;1756970
84;פэ//ไ»є๔๔уッєу;1743330
85;ŋξţźÔňξ;1728838
86;ScrewD.¬Kenji;1707969
87;meow²;1699499
88;UGUMULUGU;1666147
89;FISCH;1665258
90;Penisotter;1657235
91;ѕקεεの»Alecz;1627325
92;TnTのiהgò.Óｯ;1624508
93;»хтвн;1622795
94;ĐξvïLツ°;1616226
95;Frosch;1613134
96;da¢SP´killervirus.シ;1599090
97;ЯҒ»Ritus!;1592746
98;DrehspießfleischimBrot;1573426
99;νѕρ.Luuuke!;1571719
100;~ѕтоямісаиѕ~/Errish!;1547254
