1;NordavindDNB|riolu!;379633205
2;Law¬тєснηо.STIHL;312090949
3;racehans.STIHL;123377046
4;»Kripke;97587132
5;»мєс¬ｱんﾉﾚ〢ғฟ๏;41613284
6;!dameager!;34738276
7;TnT|Lucario;32982405
8;«厶ア»Runner;26911693
9;λиפгıIZeŗefIıмєс;24637109
10;Ŀĸя¬Τυявοॆ;20898955
11;always²;18422378
12;ғฟ๏〢Schmaniol.STIHL;17545370
13;(((๙ครใวคภツ.8.1;13773104
14;Spee:D;10883175
15;#U.1.L.Constantin;10425561
16;TSMGranaDy!STIHL;10319935
17;»ЯтА«Blizz;10078292
18;DerruppigePinkipu;9971621
19;ѕтух.STIHL;8418730
20;»мєс¬TMshocko.0;7872914
21;Visionary;7391678
22;fвĭŴέŖήi;6880124
23;λиפгıIjooey;6613681
24;Steffen93;6148401
25;»кıllєя«''';5932266
26;ฬคงε.PhilKos;5708989
27;|lDgAl|ИैaHCॆo3;5269743
28;Chaos;5269552
29;heinrichsson;5104347
30;Ŀĸя¬M4x1.STIHL;4997698
31;~Zaitsev`;4939354
32;|lDgAl|HeXeRMaNBF;4773960
33;euklid;4577824
34;teddyleins_zweit_frau;4279246
35;chen65;4233728
36;TnTpassiI|GC;4137059
37;ғฟ๏.Logic;3843412
38;тв»פаякι!;3815279
39;Ebro;3811170
40;|ηงίऽ๋ίъוэ«đampf॥;3569348
41;»TaC«ङैɷÐɷMツ;3470393
42;Ŀυсĸеяѕ¬Ðēτเתน;3425814
43;-NukeDragon-;3155676
44;XR~Mr.Bones;3125219
45;Ŗėvėη'Дтzε-Ρεηĝ;3068093
46;exÐ|Bladee;3022872
47;leandagu';3010723
48;nbspŁĬżť@Z;2728951
49;ςс๙єωの¬メูล๏๙ื็ภ����;2710692
50;Neyter;2680996
51;Jaeger;2571994
52;GNDjinho;2528740
53;Һקςоופεוѕε;2526533
54;|lDgAl|ИैaHCॆo3;2509197
55;989.kH;2436640
56;.asozialer.hal.ko;2400685
57;10°Lนkε«;2345031
58;Dunno|Neon;2309287
59;Ńitřoχツ;2273856
60;Јσнηηуғιχะ;2189949
61;Maddin-GÖ;2119175
62;хγ»looo;2104719
63;Junidan龍;2099250
64;EasyืX;2092186
65;UwS||Franzis²;2078099
66;Hyker///нот;2077994
67;ΧЯ//Асίδ*GG;2027929
68;Mini;1999416
69;Germany///Paddi.iGn;1995361
70;Nasenbär;1981957
71;Schnuffi;1956006
72;apΧ.คใεאD;1949871
73;thewne;1946155
74;sebi;1932093
75;Crucial;1919737
76;&#60DoPN&#62Jan;1883996
77;zero|Skywalker;1865653
78;Spud_Murphy;1779228
79;ѕтι¬Gै२६ॆiिु〤;1774967
80;oldschmaniaccount;1767796
81;Achmedツ;1760324
82;LSD|Dengel;1759403
83;פэ//ไ»є๔๔уッєу;1750344
84;ŋξţźÔňξ;1730552
85;ScrewD.¬Kenji;1709549
86;meow²;1703720
87;UGUMULUGU;1667679
88;FISCH;1666763
89;Penisotter;1659165
90;ѕקεεの»Alecz;1630200
91;»хтвн;1625688
92;TnTのiהgò.Óｯ;1625565
93;Frosch;1621951
94;ĐξvïLツ°;1617861
95;da¢SP´killervirus.シ;1600844
96;ЯҒ»Ritus!;1594571
97;νѕρ.Luuuke!;1578977
98;DrehspießfleischimBrot;1576850
99;Akira;1568778
100;~ѕтоямісаиѕ~/Errish!;1554119
