1;NordavindDNB|riolu!;370637485
2;Law¬тєснηо.STIHL;315209508
3;racehans.STIHL;120810819
4;»Kripke;96602510
5;»мєс¬ｱんﾉﾚ〢ғฟ๏;42533191
6;!dameager!;34693210
7;TnT|Lucario;32739424
8;«厶ア»Runner;27273936
9;λиפгıIZeŗefIıмєс;24482668
10;ғฟ๏〢Schmaniol.STIHL;21204163
11;Ŀĸя¬Τυявοॆ;20755848
12;always²;18392940
13;(((๙ครใวคภツ.8.1;13708874
14;Spee:D;10839212
15;#U.1.L.Constantin;10383196
16;TSMGranaDy!STIHL;10232591
17;»ЯтА«Blizz;9997197
18;DerruppigePinkipu;9923235
19;»мєс¬TMshocko.0;9338517
20;ѕтух.STIHL;8380845
21;λиפгıIjooey;7555087
22;Visionary;7355126
23;fвĭŴέŖήi;6791107
24;Steffen93;6250088
25;»кıllєя«''';5865037
26;ฬคงε.PhilKos;5606656
27;|lDgAl|ИैaHCॆo3;5261553
28;Chaos;5219520
29;Ŀĸя¬M4x1.STIHL;5099669
30;heinrichsson;5070808
31;~Zaitsev`;4939126
32;|lDgAl|HeXeRMaNBF;4747370
33;TnT.ezom;4602079
34;euklid;4552046
35;teddyleins_zweit_frau;4272624
36;chen65;4228244
37;TnTpassiI|GC;4130731
38;ғฟ๏.Logic;3896696
39;Akira;3816742
40;Ebro;3798061
41;тв»פаякι!;3748320
42;|ηงίऽ๋ίъוэ«đampf॥;3539726
43;»TaC«ङैɷÐɷMツ;3457982
44;Ŀυсĸеяѕ¬Ðēτเתน;3411600
45;-NukeDragon-;3138266
46;XR~Mr.Bones;3110468
47;Ŗėvėη'Дтzε-Ρεηĝ;3056107
48;exÐ|Bladee;3022543
49;leandagu';3001020
50;nbspŁĬżť@Z;2710457
51;ςс๙єωの¬メูล๏๙ื็ภ����;2705103
52;Neyter;2666288
53;Jaeger;2560527
54;GNDjinho;2515143
55;Һקςоופεוѕε;2514435
56;|lDgAl|ИैaHCॆo3;2499453
57;989.kH;2422447
58;.asozialer.hal.ko;2389397
59;Dunno|Neon;2352372
60;10°Lนkε«;2327414
61;Ńitřoχツ;2253431
62;Јσнηηуғιχะ;2183099
63;Maddin-GÖ;2107004
64;хγ»looo;2095414
65;Junidan龍;2090328
66;EasyืX;2082557
67;UwS||Franzis²;2071951
68;ΧЯ//Асίδ*GG;2024487
69;Hyker///нот;2016350
70;Mini;1980215
71;Germany///Paddi.iGn;1979343
72;Nasenbär;1973245
73;Schnuffi;1934994
74;thewne;1932063
75;apΧ.คใεאD;1931537
76;sebi;1920418
77;Crucial;1898310
78;zero|Skywalker;1878022
79;&#60DoPN&#62Jan;1870879
80;ѕтι¬Gै२६ॆiिु〤;1765776
81;Spud_Murphy;1756021
82;LSD|Dengel;1755129
83;oldschmaniaccount;1752810
84;Achmedツ;1745474
85;פэ//ไ»є๔๔уッєу;1740503
86;ŋξţźÔňξ;1721718
87;ScrewD.¬Kenji;1703050
88;meow²;1683166
89;FISCH;1681152
90;UGUMULUGU;1660897
91;Penisotter;1652034
92;ѕקεεの»Alecz;1623270
93;TnTのiהgò.Óｯ;1617425
94;»хтвн;1617087
95;ĐξvïLツ°;1610781
96;Frosch;1600145
97;da¢SP´killervirus.シ;1590938
98;DrehspießfleischimBrot;1580988
99;ЯҒ»Ritus!;1577123
100;νѕρ.Luuuke!;1562368
