1;NordavindDNB|riolu!;380202132
2;Law¬тєснηо.STIHL;311416328
3;racehans.STIHL;122909014
4;»Kripke;98442147
5;»мєс¬ｱんﾉﾚ〢ғฟ๏;42543202
6;!dameager!;34720384
7;TnT|Lucario;32815251
8;«厶ア»Runner;27181395
9;λиפгıIZeŗefIıмєс;24629701
10;Ŀĸя¬Τυявοॆ;20800349
11;always²;18406323
12;ғฟ๏〢Schmaniol.STIHL;17590434
13;(((๙ครใวคภツ.8.1;13727819
14;Spee:D;10851309
15;#U.1.L.Constantin;10401625
16;TSMGranaDy!STIHL;10229084
17;»ЯтА«Blizz;10047171
18;DerruppigePinkipu;9936250
19;ѕтух.STIHL;8414685
20;»мєс¬TMshocko.0;7860591
21;Visionary;7391948
22;λиפгıIjooey;7296445
23;fвĭŴέŖήi;6839440
24;Steffen93;6268932
25;»кıllєя«''';5900400
26;ฬคงε.PhilKos;5660710
27;|lDgAl|ИैaHCॆo3;5265945
28;Chaos;5241686
29;Ŀĸя¬M4x1.STIHL;5094381
30;heinrichsson;5083280
31;~Zaitsev`;4939087
32;|lDgAl|HeXeRMaNBF;4757937
33;euklid;4561702
34;teddyleins_zweit_frau;4273238
35;chen65;4230191
36;TnTpassiI|GC;4133196
37;ғฟ๏.Logic;3829255
38;тв»פаякι!;3810978
39;Ebro;3806124
40;Akira;3795882
41;|ηงίऽ๋ίъוэ«đampf॥;3548627
42;»TaC«ङैɷÐɷMツ;3460723
43;Ŀυсĸеяѕ¬Ðēτเתน;3410142
44;-NukeDragon-;3145827
45;XR~Mr.Bones;3114889
46;Ŗėvėη'Дтzε-Ρεηĝ;3060708
47;exÐ|Bladee;3025271
48;leandagu';3005548
49;nbspŁĬżť@Z;2717381
50;ςс๙єωの¬メูล๏๙ื็ภ����;2707858
51;Neyter;2672051
52;Jaeger;2565524
53;GNDjinho;2520454
54;Һקςоופεוѕε;2519815
55;|lDgAl|ИैaHCॆo3;2502578
56;989.kH;2426768
57;.asozialer.hal.ko;2395138
58;Dunno|Neon;2362447
59;10°Lนkε«;2335721
60;Ńitřoχツ;2262909
61;Јσнηηуғιχะ;2187362
62;Maddin-GÖ;2111303
63;хγ»looo;2098294
64;Junidan龍;2094181
65;EasyืX;2085733
66;UwS||Franzis²;2071272
67;ΧЯ//Асίδ*GG;2026019
68;Hyker///нот;2019576
69;Mini;1989167
70;Germany///Paddi.iGn;1984431
71;Nasenbär;1977000
72;apΧ.คใεאD;1945521
73;Schnuffi;1943428
74;thewne;1937273
75;sebi;1926241
76;Crucial;1920180
77;&#60DoPN&#62Jan;1878130
78;zero|Skywalker;1877452
79;ѕтι¬Gै२६ॆiिु〤;1771380
80;Spud_Murphy;1768073
81;LSD|Dengel;1757952
82;oldschmaniaccount;1756668
83;Achmedツ;1753983
84;פэ//ไ»є๔๔уッєу;1742946
85;ŋξţźÔňξ;1725324
86;ScrewD.¬Kenji;1705412
87;meow²;1691423
88;FISCH;1685262
89;UGUMULUGU;1663114
90;Penisotter;1655395
91;ѕקεεの»Alecz;1621248
92;TnTのiהgò.Óｯ;1620584
93;»хтвн;1620211
94;ĐξvïLツ°;1613908
95;Frosch;1606604
96;da¢SP´killervirus.シ;1595071
97;ЯҒ»Ritus!;1588731
98;DrehspießfleischimBrot;1586972
99;νѕρ.Luuuke!;1566854
100;~ѕтоямісаиѕ~/Errish!;1539747
